UPC,Mercado,Sub-Mercado,Atributo Categoria,Laboratorio,Laboratorio Completo,DESCRIPCION,SUN FILE,PAIS,MINERAL / NO MINERAL,TRACKER,TRACKER DESCRIPCION
3.46E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,INSTITUT ESTHEDERM,INSTITUT ESTHEDERM SPRAY FACIAL EAU CELLULAIRE BRUME HYDRA BOOSTER 100 ML x 1,,BRASIL,,,
3.46E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,INSTITUT ESTHEDERM,INSTITUT ESTHEDERM CREME ANTI IDADE EXCELLAGE 50 ML x 1,,BRASIL,,,
3.46E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,INSTITUT ESTHEDERM,INSTITUT ESTHEDERM GEL HIDRATANTE FACIAL EAU CELLULAIRE 40 ML x 1,,BRASIL,,,
3.46E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,INSTITUT ESTHEDERM,INSTITUT ESTHEDERM MASCARA FACIAL CLAREADORA OSMOCLEAN 75 ML x 1,,BRASIL,,,
3.46E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,INSTITUT ESTHEDERM,INSTITUT ESTHEDERM CREME FACIAL INTENSIV HYALURONIC 50 ML x 1,,BRASIL,,,
3.46E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,INSTITUT ESTHEDERM,INSTITUT ESTHEDERM CREME INTENSIVE RETINOL 50 ML x 1,,BRASIL,,,
3.46E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,INSTITUT ESTHEDERM,INSTITUT ESTHEDERM LIQUIDO AGUA CELULAR FACIAL BRUMA 30 ML x 1,,BRASIL,,,
3.46E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,INSTITUT ESTHEDERM,INSTITUT ESTHEDERM SERUM FACIAL INTENSIVE¤PROPOLIS SALICYLIC ACID 50 ML x 1,,BRASIL,,,
3.46E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,INSTITUT ESTHEDERM,INSTITUT ESTHEDERM CREME FACIAL LIFT REPAIR 50 ML x 1,,BRASIL,,,
3.46E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,INSTITUT ESTHEDERM,INSTITUT ESTHEDERM SERUM FACIAL LIFT REPAIR 30 ML x 1,,BRASIL,,,
3.46E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,INSTITUT ESTHEDERM,INSTITUT ESTHEDERM SERUM PARA OS OLHOS LIFT REPAIR 15 ML x 1,,BRASIL,,,
3.46E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,ESTHEDERM,INSTITUT ESTHEDERM MASCARA FACIAL INTENSIVE HYALURONICO 75 ML x 1,,BRASIL,,,
3.46E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,ESTHEDERM,INSTITUT ESTHEDERM SERUM FACIAL INTENSIVE VITAMINE C2 10 ML x 1,,BRASIL,,,
3.46E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,ESTHEDERM,INSTITUT ESTHEDERM SERUM CORPORAL INTENSIVE GLAUSCINE 200 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,GALDERMA,GALDERMA,CETAPHIL EMULSION HIDRATANTE ML C/VALVULA FCO PL 473 GALDERM 3499320003223,,CHILE,,,
3.50E+12,SUN,SUN FACE,SUN FACE NON TINTED,GALDERMA,GALDERMA,CETAPHIL DEFENSE UVB SPF 50+UVA/28 CJ.BLO.CR.50 IX GALDER 3499320003018,Sensitive Skin/ basic sun protection,CHILE,,,
3.50E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,OT.MARCAS,NUTRADERM HC 60 ALCON 3499320000710,,CHILE,,,
3.50E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,OT.MARCAS,NUTRADERM ML 125 ALCON 3499320000727,,CHILE,,,
3.50E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,OT.MARCAS,NUTRADERM PIEL SECA Y SENSIBLE CJ HC .60 GALDERMA 3499320007108,,CHILE,,,
3.50E+12,FACE,ACNE,ACNE CLEANS,GALDERMA,GALDERMA,CETAPHIL LIMPIADOR LIQ PIEL GRASA LL C/VAL FCO PL 237 3499320003254,,CHILE,,,
3.50E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,GALDERMA,GALDERMA,CETAPHIL HIDRATANTE POT PL MC 453 GALDERMA 3499320003247,,CHILE,,,
3.50E+12,FACE,ACNE,ACNE CLEANS,GALDERMA,GALDERMA,CETAPHIL DERMO CONTROL ESP DE LIMPIEZA LL CJA 236 GALDERMA 3499320004497,,CHILE,,,
3.50E+12,FACE,ACNE,ACNE CLEANS,GALDERMA,GALDERMA,CETAPHIL ESPUMA LIMPIEZA SUAVE BT PLT 236 3499320009775,,CHILE,,,
3.50E+12,FACE,ANTI-AGE,ANTI-AGE,GALDERMA,GALDERMA,CETAPHIL C/ACIDO HIALURONICO DIA HL CJA CTN 88 3499320007986,,CHILE,,,
3.50E+12,FACE,ANTI-AGE,ANTI-AGE,GALDERMA,GALDERMA,CETAPHIL C/ACIDO HIALURONICO NOCHE HC CJA CTN 48 3499320007979,,CHILE,,,
3.50E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,GALDERMA,GALDERMA,CETAPHIL TOALLITAS DE LIMPIEZA PIEL SENSIBLE TD BL PL 25 3499320005326,,CHILE,,,
3.50E+12,FACE,ANTI-AGE,ANTI-AGE,GALDERMA,GALDERMA,CETAPHIL HIDRATANTE DIARIO FPS50 CJA CTN HL 50 3499320004541,,CHILE,,,
3.50E+12,FACE,ACNE,ACNE TREATMENT,GALDERMA,GALDERMA,CETAPHIL DERMACONTROL FPS30 HIDRATANTE CJA 118 GALDERMA 3499320004473,,CHILE,,,
3.50E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,CETAPHIL,CETAPHIL HAND CREAM HEALTHY HYGIENE POMO PL 50 ML 3499320011341,,CHILE,,,
3.50E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,GALDERMA,GALDERMA,CETAPHIL LOCAO HIDRATANTE FACIAL 88 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY CLEANS,SENSITIVE SKIN CLEANS,GALDERMA,GALDERMA,CETAPHIL SABONETE LIQUIDO HEALTHY HYGINIE 237 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY CLEANS,SENSITIVE SKIN CLEANS,GALDERMA,GALDERMA,CETAPHIL NF SABONETE PELE SENSIVEL 127 G x 1,,BRASIL,,,
3.50E+12,FACE,ACNE,ACNE TREATMENT,GALDERMA,GALDERMA,CETAPHIL PRO AC CO LOCAO HIDRATANTE FACIAL FPS30 PARA PELE OLEOSA 118 ML x 1,,BRASIL,,,
3.50E+12,FACE,ACNE,ACNE CLEANS,GALDERMA,GALDERMA,CETAPHIL PRO AC CO ESPUMA LIMPEZA FACIAL PARA PELE OLEOSA 236 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY CLEANS,DRY SKIN CLEANS,GALDERMA,GALDERMA,CETAPHIL SABONETE LIMPEZA PROFUNDA 127 G x 1,,BRASIL,,,
3.50E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,GALDERMA,GALDERMA,CETAPHIL ESPUMA DE LIMPEZA FACIAL SUAVE 236 ML x 1,,BRASIL,,,
3.50E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,GALDERMA,GALDERMA,CETAPHIL CREME HIDRATANTE FACIAL NOTURNO 48 G x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,GALDERMA,GALDERMA,CETAPHIL CREME MAOS HEALTHY HYGINIE 50 ML x 1,,BRASIL,,,
3.50E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,GALDERMA,GALDERMA,CETAPHIL CREME HIDRATANTE FACIAL OPTIMAL HYDRATION 50 G x 1,,BRASIL,,,
3.50E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,GALDERMA,GALDERMA,CETAPHIL PRO A C C CREME HIDRATANTE FACIAL 50 ML x 1,,BRASIL,,,
3.50E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,GALDERMA,GALDERMA,CETAPHIL SERUM HIDRATANTE AREA OLHOS OPTIMAL HYDRATION 15 ML x 1,,BRASIL,,,
3.50E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,GALDERMA,GALDERMA,CETAPHIL SERUM HIDRATANTE FACIAL OPTIMAL HYDRATION 48 HORAS 30 ML x 1,,BRASIL,,,
3.50E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,GALDERMA,GALDERMA,CETAPHIL PRO A C C CREME HIDRATANTE FACIAL FPS30 COM COR 50 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY CLEANS,DRY SKIN CLEANS,GALDERMA,GALDERMA,CETAPHIL SPRAY SERUM HIDRATANTE CORPORAL OPTIMAL HYDRATION 207 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,DRY SKIN TREATMENT,GALDERMA,GALDERMA,CETAPHIL LOCAO HIDRATANTE CORPORAL OPTIMAL HYDRATION 237 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,GALDERMA,GALDERMA,CETAPHIL GEL CREME RAPIDA ABSORCAO CALMANTE 453 G x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,GALDERMA,GALDERMA,CETAPHIL GEL CREME RAPIDA ABSORCAO CALMANTE 226 G x 1,,BRASIL,,,
3.50E+12,FACE,ACNE,ACNE CLEANS,GALDERMA,GALDERMA,DERMOTIVIN BENZAC CREME OIL CONTROL MICROBIOMA EQUILIBRADO 50 ML x 1,,BRASIL,,,
3.50E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,GALDERMA,GALDERMA,CETAPHIL WATER GEL OPTIMAL HYDRATION 48 G x 1,,BRASIL,,,
3.50E+12,BODY,BODY CLEANS,SENSITIVE SKIN CLEANS,GALDERMA,GALDERMA,CETAPHIL CREME MAOS HEALTHY HYGINIE 50 ML x 1,,BRASIL,,,
3.50E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,LA ROCHE POSAY,LA ROCHE POSAY,TOLERIANE DERMO-NETTOYANT LC 200 LAB.ROCHE-POSAY 3503357061047,,CHILE,,,
3.50E+12,FACE,ANTI-AGE,ANTI-AGE,LA ROCHE POSAY,LA ROCHE POSAY,LA ROCHE POSAY AGUA TERMAL PT PLT 150ML. 3503357018881,,CHILE,,,
3.50E+12,BODY,BODY TREATMENT,PERFORMANCE,OTROS LAB,...,MUSTELA CR CORP ANTI ESTRIAS POMO PL 150 ML 3504105033828,,CHILE,,,
3.50E+12,BODY,BODY TREATMENT,BABY TREATMENT,OTROS LAB,EXPANSCIENCE,MUSTELA BIO CREME HIDRATANTE 150 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,BABY TREATMENT,OTROS LAB,EXPANSCIENCE,MUSTELA DP CREME HIDRATANTE STELATOPIA 200 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,BABY TREATMENT,OTROS LAB,EXPANSCIENCE,MUSTELA DP CREME STELATOPIA LAVANTE 200 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,BABY TREATMENT,OTROS LAB,EXPANSCIENCE,MUSTELA DP CREME STELATRIA 40 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,BABY TREATMENT,OTROS LAB,EXPANSCIENCE,MUSTELA DP CREME STELATTIV EMOLIENTE 200 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,BABY TREATMENT,OTROS LAB,EXPANSCIENCE,MUSTELA 9M CREME HIDRATACAO EXTREME 200 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,PERFORMANCE,OTROS LAB,EXPANSCIENCE,MUSTELA 9M CREME ANTIESTRIAS ACAO INTENSIVA 75 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,PERFORMANCE,OTROS LAB,EXPANSCIENCE,MUSTELA 9M CREME ANTIESTRIAS DUPLA ACAO 150 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY CLEANS,BABY CLEANS,OTROS LAB,EXPANSCIENCE,MUSTELA BB GEL ESPUMA DERMO LAVANTE 500 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY CLEANS,BABY CLEANS,OTROS LAB,EXPANSCIENCE,MUSTELA BB GEL LAVANTE ABACATE 500 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY CLEANS,BABY CLEANS,OTROS LAB,EXPANSCIENCE,MUSTELA BB GEL LAVANTE SCHISANDRA PELE MUITO SENSIVEL 500 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY CLEANS,BABY CLEANS,OTROS LAB,EXPANSCIENCE,MUSTELA BB LIQUIDO DERMO LAVANTE 200 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY CLEANS,BABY CLEANS,OTROS LAB,EXPANSCIENCE,MUSTELA BIO GEL LAVANTE 400 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY CLEANS,BABY CLEANS,OTROS LAB,EXPANSCIENCE,MUSTELA DP CREME STELATOPIA LAVANTE GIRASSOL 200 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,BABY TREATMENT,OTROS LAB,EXPANSCIENCE,MUSTELA BIO CREME PREVENTIVO DE ASSADURA 75 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,BABY TREATMENT,OTROS LAB,EXPANSCIENCE,MUSTELA BIO GEL ARNICA E CALENDULA 100 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,EXPANSCIENCE,MUSTELA MATERNITE BALSAMO CALMANTE 200 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,PERFORMANCE,OTROS LAB,EXPANSCIENCE,MUSTELA MATERNITE CREME ESTRIAS 150 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,PERFORMANCE,OTROS LAB,EXPANSCIENCE,MUSTELA MATERNITE CREME ESTRIAS 250 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,PERFORMANCE,OTROS LAB,EXPANSCIENCE,MUSTELA MATERNITE CREME PREVENCAO ESTRIAS 150 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,PERFORMANCE,OTROS LAB,EXPANSCIENCE,MUSTELA MATERNITE CREME PREVENCAO ESTRIAS 250 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,PERFORMANCE,OTROS LAB,EXPANSCIENCE,MUSTELA MATERNITE CREME PREVENCAO ESTRIAS SEM PERFUME 150 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,EXPANSCIENCE,MUSTELA MATERNITE GEL FIRMEZA CORPORAL 200 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,PERFORMANCE,OTROS LAB,EXPANSCIENCE,MUSTELA MATERNITE OLEO ESTRIAS 105 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,PERFORMANCE,OTROS LAB,EXPANSCIENCE,MUSTELA MATERNITE SERUM CORETOR ANTI ESTRIAS 75 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,PERFORMANCE,OTROS LAB,EXPANSCIENCE,MUSTELA MATERNITE SERUM ESTRIAS 45 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,PERFORMANCE,OTROS LAB,EXPANSCIENCE,MUSTELA MATERNITE SPRAY OLEO ANTI ESTRIAS 105 ML x 1,,BRASIL,,,
3.50E+12,SUN,SUN KIDS,SUN KIDS,OTROS LAB,EXPANSCIENCE,MUSTELA SOL LOCAO PROTETOR SOLAR BEBE ENFANT FPS50 100 ML x 1,,BRASIL,NON MINERAL,,
3.50E+12,SUN,SUN KIDS,SUN KIDS,OTROS LAB,EXPANSCIENCE,MUSTELA SOL LOCAO PROTETOR SOLAR BEBE ENFANT FPS50 40 ML x 1,,BRASIL,NON MINERAL,,
3.50E+12,SUN,SUN KIDS,SUN KIDS,OTROS LAB,EXPANSCIENCE,MUSTELA SOL SPRAY PROTETOR SOLAR BEBE ENFANT FPS50 200 ML x 1,,BRASIL,NON MINERAL,,
3.50E+12,SUN,SUN KIDS,SUN KIDS,OTROS LAB,EXPANSCIENCE,MUSTELA SOL SPRAY PROTETOR SOLAR BEBE ENFANT FPS50 300 ML x 1,,BRASIL,NON MINERAL,,
3.50E+12,BODY,BODY CLEANS,BABY CLEANS,OTROS LAB,EXPANSCIENCE,MUSTELA BIO AGUA MICELAR 400 ML x 1,,BRASIL,,,
3.50E+12,BODY,BODY TREATMENT,PERFORMANCE,OTROS LAB,EXPANSCIENCE,MUSTELA MATERNI NF CREME PREVENCAO ESTRIAS SEM PERFUME 150 ML x 1,,BRASIL,,,
3.57E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,JOHNSON JOHNSON,PRO RENOVE CREME 1% 50 ML x 1,,BRASIL,,,
3.57E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,JOHNSON JOHNSON,PRO RENOVE FLUIDO 1% 40 ML x 1,,BRASIL,,,
3.57E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,JOHNSON JOHNSON,PRO DEFINE CREME 50 ML x 1,,BRASIL,,,
3.57E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,JOHNSON JOHNSON,PRO DEFINE CREME CONCENTRADO 50 ML x 1,,BRASIL,,,
3.57E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,JOHNSON JOHNSON,COMPLETE LIFT ROLLON EYE 15 ML x 1,,BRASIL,,,
3.57E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,JOHNSON JOHNSON,PRO CORRECT CREME 0.04% 40 ML x 1,,BRASIL,,,
3.57E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,JOHNSON JOHNSON,PRO CORRECT CREME 0.1% 30 ML x 1,,BRASIL,,,
3.57E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,JOHNSON JOHNSON,PRO CORRECT FLUIDO 0.04% 40 ML x 1,,BRASIL,,,
3.57E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,JOHNSON JOHNSON,PRO SUBLIME CREME 15 ML x 1,,BRASIL,,,
3.57E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,JOHNSON JOHNSON,PRO CALM CREME FACIAL 40 ML x 1,,BRASIL,,,
3.61E+12,FACE,ACNE,ACNE TREATMENT,LA ROCHE POSAY,LA ROCHE POSAY,LA ROCHE POSAY GEL ROSTRO EFFACLAR POM PL 50ML 3605050910544,,CHILE,,,
3.61E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SKINCEUTICALS,RESVERATROL B E GEL SERUM PUMP 15 ML x 1,,BRASIL,,,
3.61E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SKINCEUTICALS,RESVERATROL B E GEL SERUM PUMP 30 ML x 1,,BRASIL,,,
3.61E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SKINCEUTICALS,SERUM 10 SERUM 15 ML x 1,,BRASIL,,,
3.61E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SKINCEUTICALS,GLYCOLIC 10 CREME RENEW OVERNIGHT 50 ML x 1,,BRASIL,,,
3.61E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SKINCEUTICALS,H.A. INTENSIFIER SERUM 15 ML x 1,,BRASIL,,,
3.61E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SKINCEUTICALS,H.A. INTENSIFIER SERUM 30 ML x 1,,BRASIL,,,
3.61E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SKINCEUTICALS,PHYTO CORRECT MASQ MASCARA FACIAL 240 ML x 1,,BRASIL,,,
3.61E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SKINCEUTICALS,RETINOL 0.3 N FORM CREME 30 ML x 1,,BRASIL,,,
3.61E+12,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,SKINCEUTICALS,ADVANCED PIG CORRE GEL CREME 30 ML x 1,,BRASIL,,,
3.61E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SKINCEUTICALS,BIOCELLULOSE SACHET MASCARA RESTAURADORA x 1,,BRASIL,,,
3.61E+12,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,SKINCEUTICALS,PHYSICAL FU UV DEF LOCAO FPS50 50 ML x 1,Sensitive Skin/ basic sun protection,BRASIL,,,
3.61E+12,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,SKINCEUTICALS,PHYSICAL MA UV DEF CREME FPS50 30 ML x 1,Sensitive Skin/ basic sun protection,BRASIL,,,
3.61E+12,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,...,BIOTHERM HOMME BLOQ FPS50 BLOQ SPRAY HOMB CJ CTN 30ML 3614271219367,Sensitive Skin/ basic sun protection,CHILE,,,
3.61E+12,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,...,BIOTHERM CREME SOLAIRE SPF 50 UVA CJ CTN 50ML 3614270429835,Normal to Acne Prone Skin,CHILE,,,
3.61E+12,SUN,SUN FACE,SUN FACE NON TINTED,BIODERMA,BIODERMA,BIOTHER DRY TOUCH SUN CREAM SPF50 CJ CTN 50ML 3614270429866,Normal to Acne Prone Skin,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE EAU THERMALE LT LL 150 D URIAGE 3660398000012,,CHILE,,,
3.66E+12,FACE,ACNE,ACNE CLEANS,OTROS LAB,URIAGE,URIAGE GR HYSEAC CLEANSING GEL+EAU THERM HYSEAC 3RE CJ 40 50 3661434007545BP1,,CHILE,,,
3.66E+12,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,URIAGE,URIAGE EAU MICELLAR WATER LL+ SPF50 MAT 50 100 CJA CTN 3661434006722BP1,Sensitive Skin/ basic sun protection,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE REG DERMO-CLEANSING FLUID LL+ROSALIANE CJ CTN 40 100 3661434007491BP2,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE GR EAU THERMALE MICELLAR WAT+LIGHT WATE HL CJ 40 100 3661434007552BP2,,CHILE,,,
3.66E+12,FACE,ACNE,ACNE TREATMENT,OTROS LAB,URIAGE,URIAGE EAU THERMALE HYSEAC NETTOYANTE REG MAT HL 40 LL 100 3661434002632BP2,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE EAU THERMALE SOINS CROUTES DE LAIT NOURRISSON CTN 40 3661434002502,,CHILE,,,
3.66E+12,SUN,SUN BODY,SUN BODY,OTROS LAB,URIAGE,URIAGE EAU THERMALE BARIESUN F30 AC PM BLO C/DOS FC PL 200 3661434002557,,CHILE,,,
3.66E+12,SUN,SUN KIDS,SUN KIDS,OTROS LAB,URIAGE,URIAGE EAU THERMALE BARIESUN LAIT50+KIDS PIEL SENS.CJ CT 100 3661434001413,,CHILE,NON MINERAL,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE CRDETOX NOCH+INTNSV SR10 G/C AGE PROT CR40 CJ CTN 10 3661434007798BP3,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE EAU THERMALE ISOFILL FOCUS RIDES RICHE CJ NC 50 3661434001871,,CHILE,,,
3.66E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,URIAGE,URIAGE EAU THERMALE XEMOSE EMOLIANTE UNIVERSAL ML CJ 200 D&M 3661434000119,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE EAU THERMALE EAU MICEL FRAG FREE INT SK LL BOT PL 100 3661434004582,,CHILE,,,
3.66E+12,SUN,SUN BODY,SUN BODY,OTROS LAB,URIAGE,URIAGE EAU THERMALE BARIESUN F50+ AC PIEL SENS BLO FC PL 200 3661434002564,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE EAU THERMALE ISOFILL SOIN FOCUS RIDES YEUX CJ OL 15 3661434001888,,CHILE,,,
3.66E+12,BODY,BODY TREATMENT,BABY TREATMENT,OTROS LAB,URIAGE,URIAGE EAU THERMALE 1ER LAIT HYDRATANT BEBES FCO PL 400 3661434000379,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE EAU THER.HYD.AP.J/A URIAGE NC50J/A URIAGE OL15LL LT50 3661434003998BP3,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE EAU THERMALE MICELLAIRE P.MIX/GRAS LL BOT PL 100 3661434003653,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE EAU THERMALE EAU MICEL NOR TO DRY SKIN LL BOT 100 3661434003592,,CHILE,,,
3.66E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,URIAGE,URIAGE EAU THERMALE XEMOSE STICK LEVRES TB LAB 4 D URIAGE 3661434001277,,CHILE,,,
3.66E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,URIAGE,URIAGE EAU THERMALE CREME MAINS MAL POM PL 50 D URIAGE 3661434002083,,CHILE,,,
3.66E+12,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,URIAGE,URIAGE EAU THERMALE ROSELIANE FLUIDE DE LIMP FCO LL 250 3661434000447,,CHILE,,,
3.66E+12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,URIAGE,URIAGE EAU THERMALE BARIED LAB BAL AIS RE.CAL NL CJA CTN15 3661434000737,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE EAU THERMALE ISODENSE CJ NL 50 D URIAGE 3661434002168,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE EAU THERMALE MAL POM 50X2 100 3661434006326,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE EAU THERMALE ISOFILL SERUM INTENSO REPULPANT CJ NL 30 3661434001895,,CHILE,,,
3.66E+12,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,URIAGE,URIAGE EAU THERMALE ISOLISS FLUIDE CJ CTN NL 40 URIAGE 3661434002724,,CHILE,,,
3.66E+12,FACE,ACNE,ACNE TREATMENT,OTROS LAB,URIAGE,URIAGE EUA FREE URIAGE GEL LL+MATIFYING EMULSION 40 50 3661434006753BP1,,CHILE,,,
